estudiante,num,Clave,Profesor,tiempoOffClass,materiaDificil,profesorDificil,acreditada
estu_0001,1,CBE100296,RODRIGUEZ MARRUFO LEONARDO,1,1,0,0
estu_0001,2,CBE100396,HERNANDEZ MINJARES CINTHYA MELISSA,0,0,0,1
estu_0001,3,CBE100496,HASSE ARMENGOL ISAAC,0,1,0,1
estu_0001,4,CBE100696,GRIJALVA RUIZ JUAN CARLOS,1,1,0,1
estu_0001,5,CBE100796,CALVO HERNANDEZ SALVADOR JESUS,0,1,0,1
estu_0001,6,CBE100896,GASPAR DE ALBA DIEGUEZ ARCELIA GUILLERMINA FERNANDA,0,0,0,1
estu_0001,7,CBE120196,OLMOS ZAMARRIPA EMMA EDITH,0,0,0,0
estu_0001,8,CBE120296,PEREZ BLANCO RICARDO ENRIQUE,0,0,0,1
estu_0001,9,CBE120396,MONTOYA MENDOZA JOSE,0,1,0,0
estu_0001,10,CBE122396,DELGADO MEDINA ALFONSO,0,0,1,0
estu_0001,11,CBE150196,MORALES JAQUEZ SONIA ARLYN,1,0,0,0
estu_0001,12,HUM215600,FLORES GARCIA SERGIO,0,0,0,1
estu_0001,13,HUM215700,GARCIA RAMIREZ LUZ ELENA,0,0,0,1
estu_0001,14,HUM215800,NORIEGA MORALES SALVADOR ANACLETO,0,0,0,1
estu_0001,15,HUM993614,OLVERA LOPEZ SONIA AZENETH,0,1,0,1
estu_0001,16,HUM993714,DIAZ REZA JOSE ROBERTO,0,1,0,0
estu_0001,17,HUM993814,PEREZ RODRIGUEZ PEDRO,1,0,1,1
estu_0001,18,IEC110796,CASTRO VASQUEZ ARNULFO,1,1,0,0
estu_0001,19,IEC130196,VALENZUELA MORENO ALDO URIEL,0,0,0,1
estu_0001,20,IEC210896,OLMOS SANCHEZ KARLA MIROSLAVA,1,1,1,1
estu_0001,21,IEC220196,ARELLANO FLORES JORGE ISAAC Teams Martes,1,0,0,1
estu_0001,22,IEC224309,MIRELES JR. GARCIA JOSE,0,0,0,1
estu_0001,23,IEC230296,LUJAN MALDONADO SERGIO,1,1,0,1
estu_0001,24,IEC240196,MENDOZA CARREON ALEJANDRA,0,0,0,1
estu_0001,25,IEC260196,MEZA PRIETO ELIZABETH,0,1,0,0
estu_0001,26,IEC320796,SANTOS BERUMEN LUIS ALBERTO,0,1,0,0
estu_0001,27,IEC340296,CASTILLO LUNA EDUARDO,1,1,1,1
estu_0001,28,IEC361096,GONZALEZ CAMPOS JOSE SAUL,1,0,0,1
estu_0001,29,IEC361296,ROSALES MORALES NOE RAMON,0,0,0,1
estu_0001,30,IEC980800,BRITO HOLGUIN HUGO JAVIER,0,1,0,1
estu_0001,31,IEC980900,"ESTRADA SALDAÃA JOSE FERNANDO Do - Campus Virtual, Ju -",0,1,1,1
